Unnamed: 0,neighbourhood_group_cleansed,property_type,room_type,bedrooms,price,minimum_nights_avg_ntm,instant_bookable,property_type_group,review_score,review_score_porcent,occupancy_rate,bedroom_occupancy_percent,min_nights_percent_year
1849,Salamanca,Entire rental unit,Entire home/apt,2.0,133.0,4.4,True,House,5,0.9,0.52,0.81,0.01
1850,Arganzuela,Entire rental unit,Entire home/apt,2.0,126.0,3.0,True,Floor,4,0.74,0.43,0.39,0.01
1851,ChamartÃ­n,Entire loft,Entire home/apt,1.0,78.0,2.0,True,Floor,5,0.93,0.95,0.94,0.01
1852,Centro,Entire rental unit,Entire home/apt,1.0,68.0,3.0,False,Floor,4,0.72,0.41,0.56,0.01
1853,Arganzuela,Private room in rental unit,Private room,1.0,45.0,3.0,False,Room,4,0.65,0.41,0.9,0.01
1854,Centro,Entire rental unit,Entire home/apt,2.0,101.0,3.0,False,House,5,0.89,0.31,0.98,0.01
1855,Centro,Entire rental unit,Entire home/apt,5.0,619.0,1.7,False,Floor,5,0.96,0.44,0.85,0.0
1856,Centro,Entire rental unit,Entire home/apt,1.0,80.0,6.0,True,Floor,4,0.66,0.5,0.88,0.02
1857,ChamartÃ­n,Entire rental unit,Entire home/apt,2.0,200.0,3.0,False,House,3,0.43,0.33,0.83,0.01
1858,Carabanchel,Entire rental unit,Entire home/apt,2.0,88.0,25.0,False,House,3,0.54,0.32,0.99,0.07
1859,Centro,Private room in rental unit,Private room,1.0,65.0,2.0,False,Room,2,0.35,0.6,0.81,0.01
1860,Centro,Entire rental unit,Entire home/apt,1.0,78.0,28.9,False,House,4,0.77,0.86,0.78,0.08
1861,Centro,Entire condo,Entire home/apt,3.0,373.0,2.2,True,House,5,0.93,0.87,0.86,0.01
1862,Centro,Entire rental unit,Entire home/apt,1.0,131.0,5.4,False,House,5,0.87,0.53,0.71,0.01
1863,Centro,Entire rental unit,Entire home/apt,1.0,91.0,5.0,False,House,4,0.64,0.67,0.85,0.01
1864,Fuencarral - El Pardo,Entire rental unit,Entire home/apt,2.0,94.0,19.9,False,Floor,5,0.87,0.46,0.9,0.05
1865,Retiro,Private room in condo,Private room,1.0,56.0,2.0,False,Room,5,0.81,0.55,0.98,0.01
1866,Centro,Entire rental unit,Entire home/apt,1.0,99.0,6.0,False,House,5,0.86,0.68,0.89,0.02
1867,Centro,Entire rental unit,Entire home/apt,3.0,218.0,1.0,True,Floor,4,0.7,0.84,0.67,0.0
1868,Centro,Entire rental unit,Entire home/apt,2.0,188.0,5.5,False,Floor,4,0.77,0.75,0.92,0.02
1869,Centro,Entire rental unit,Entire home/apt,2.0,136.0,3.6,False,Floor,5,0.86,0.45,0.89,0.01
1870,Salamanca,Entire rental unit,Entire home/apt,2.0,123.0,2.2,False,House,3,0.43,0.34,0.81,0.01
1871,Centro,Entire rental unit,Entire home/apt,2.0,115.0,7.8,True,House,4,0.67,0.77,0.97,0.02
1872,Retiro,Room in hotel,Private room,1.0,149.0,1.0,True,Room,5,0.96,0.48,1.0,0.0
1873,Centro,Entire rental unit,Entire home/apt,1.0,106.0,3.0,False,House,5,0.99,0.38,0.56,0.01
1874,Centro,Private room in rental unit,Private room,1.0,61.0,1.9,False,Room,5,0.82,0.45,0.94,0.01
1875,Salamanca,Entire rental unit,Entire home/apt,2.0,170.0,5.0,False,Floor,5,0.96,0.81,0.94,0.01
1876,Centro,Entire rental unit,Entire home/apt,1.0,97.0,6.8,True,House,3,0.5,0.74,0.97,0.02
1877,Centro,Entire rental unit,Entire home/apt,1.0,164.0,2.0,False,House,3,0.5,0.42,0.86,0.01
1878,Centro,Entire rental unit,Entire home/apt,0.0,98.0,5.1,True,Floor,4,0.71,0.75,0.85,0.01
